title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
West Eifel Volcanic Field,Volcanic field,50.17,6.85,large,#FF0000,#FFFFFF,2
Chaine des Puys,Lava dome(s),45.786,2.981,large,#FF0000,#FFFFFF,2
Olot Volcanic Field,Volcanic field,42.17,2.53,large,#FF0000,#FFFFFF,2
Calatrava Volcanic Field,Volcanic field,38.87,-4.02,large,#FF0000,#FFFFFF,2
Colli Albani,Caldera,41.7569,12.7251,large,#FF0000,#FFFFFF,2
Campi Flegrei,Caldera,40.827,14.139,large,#FF0000,#FFFFFF,2
Vesuvius,Stratovolcano,40.821,14.426,large,#FF0000,#FFFFFF,2
Ischia,Complex,40.73,13.897,large,#FF0000,#FFFFFF,2
Palinuro,Compound,39.48,14.83,large,#FF0000,#FFFFFF,2
Stromboli,Stratovolcano,38.789,15.213,large,#FF0000,#FFFFFF,2
Panarea,Stratovolcano,38.638,15.064,large,#FF0000,#FFFFFF,2
Lipari,Stratovolcano(es),38.49,14.933,large,#FF0000,#FFFFFF,2
Vulcano,Stratovolcano(es),38.404,14.962,large,#FF0000,#FFFFFF,2
Etna,Stratovolcano(es),37.748,14.999,large,#FF0000,#FFFFFF,2
Campi Flegrei del Mar di Sicilia,Volcanic field,37.1,12.7,large,#FF0000,#FFFFFF,2
Pantelleria,Shield,36.77,12.02,large,#FF0000,#FFFFFF,2
Marsili,Complex,39.284,14.399,large,#FF0000,#FFFFFF,2
Methana,Lava dome(s),37.6186,23.3331,large,#FF0000,#FFFFFF,2
Milos,Stratovolcano(es),36.699,24.439,large,#FF0000,#FFFFFF,2
Santorini,Shield(s),36.404,25.396,large,#FF0000,#FFFFFF,2
Kolumbo,Complex,36.524,25.483,large,#FF0000,#FFFFFF,2
Nisyros,Stratovolcano,36.5888,27.1553,large,#FF0000,#FFFFFF,2
Kula,Volcanic field,38.58,28.52,large,#FF0000,#FFFFFF,2
Hasandag-Keciboyduran Volcanic Complex,Stratovolcano,38.13,34.17,large,#FF0000,#FFFFFF,2
Erciyes Volcanic Complex,Stratovolcano,38.531,35.447,large,#FF0000,#FFFFFF,2
Karaca Dag,Shield,37.67,39.83,large,#FF0000,#FFFFFF,2
Nemrut Dagi,Stratovolcano,38.654,42.229,large,#FF0000,#FFFFFF,2
Tenduruk Dagi,Shield,39.356,43.874,large,#FF0000,#FFFFFF,2
Ararat,Stratovolcano,39.7,44.3,large,#FF0000,#FFFFFF,2
Elbrus,Stratovolcano,43.351,42.442,large,#FF0000,#FFFFFF,2
Kazbek,Stratovolcano,42.7,44.5,large,#FF0000,#FFFFFF,2
Samsari Volcanic Center,Volcanic field,41.542,43.7,large,#FF0000,#FFFFFF,2
Aragats,Stratovolcano,40.53,44.2,large,#FF0000,#FFFFFF,2
Ghegham Volcanic Ridge,Volcanic field,40.283,45,large,#FF0000,#FFFFFF,2
Vaiyots-Sar,Pyroclastic cone(s),39.797,45.497,large,#FF0000,#FFFFFF,2
Porak,Volcanic field,40.028,45.74,large,#FF0000,#FFFFFF,2
Tskhouk-Karckar,Pyroclastic cone(s),39.742,45.992,large,#FF0000,#FFFFFF,2
"Tair, Jebel at",Stratovolcano,15.55,41.83,large,#FF0000,#FFFFFF,2
Zubair Group,Shield,15.05,42.18,large,#FF0000,#FFFFFF,2
Zukur,Shield,14.02,42.75,large,#FF0000,#FFFFFF,2
Hanish,Shield,13.72,42.73,large,#FF0000,#FFFFFF,2
Alid,Stratovolcano,14.88,39.92,large,#FF0000,#FFFFFF,2
Dallol,Explosion crater(s),14.242,40.3,large,#FF0000,#FFFFFF,2
Gada Ale,Stratovolcano,13.975,40.408,large,#FF0000,#FFFFFF,2
Alu-Dalafilla,Fissure vent(s),13.793,40.553,large,#FF0000,#FFFFFF,2
Bora Ale,Stratovolcano,13.725,40.6,large,#FF0000,#FFFFFF,2
